category_num, cat_name, num_entries, gold_beer, gold_brewery, gold_city, gold_state, silver_beer, silver_brewery, silver_city, silver_state, bronze_beer, bronze_brewery, bronze_city, bronze_state
1, American-Style Wheat Beer, 58, Gold: Super 77 Wheat, Wiley Roots Brewing Co., Greeley, CO, Silver: Whacked Out Wheat, Telluride Brewing Co., Telluride, CO, Bronze: Mogabi, Elevator Brewing Co. - Production Facility, Columbus, OH
2, American-Style Wheat Beer With Yeast, 41, Gold: The Big O, O’so Brewing, Plover, WI, Silver: WeldWerks Hefeweizen, WeldWerks Brewing Co., Greeley, CO, Bronze: Boulder Bend Dunkelweizen, Fish Brewing Co., Olympia, WA
3, American-Style Fruit Beer, 87, Gold: Chchchch-Cherry Bomb, Melvin Brewing, Jackson, WY, Silver: Rasplendent, Mazama Brewing Co., Corvallis, OR, Bronze: Apricot Blonde, Dry Dock Brewing Co. - Production Facility, Aurora, CO
4, Fruit Wheat Beer, 69, Gold: Magnolia’s Peach, BJ’s Restaurant & Brewery - Chandler, Chandler, AZ, Silver: You’re My Boy, Blue!, Brew Bus Brewing, Tampa, FL, Bronze: Purple Line, Smylie Brothers Brewing Co., Evanston, IL
5, Belgian-Style Fruit Beer, 63, Gold: xReserve Ale 05-15 Peach and Ginger Saison, Saucony Creek Brewing Co., Kutztown, PA, Silver: Kumquat Saison, Smog City Brewing, Torrance, CA, Bronze: Cherry Busey, Sun King Brewing Co., Indianapolis, IN
6, Pumpkin Beer, 56, Silver: Pumpkin Grinder, Mankato Brewery, Mankato, MN, Bronze: The Great Pumpkin Ale, Great Basin Brewing Co. - Sparks, Sparks, NV
7, Field Beer, 52, Gold: Beets, Rhymes and Life, Fonta Flora Brewery, Morganton, NC, Silver: Window Seat Coconut Almond Porter, Baxter Brewing Co., Auburn, ME, Bronze: Coconut Porter, Broken Compass Brewing, Breckenridge, CO
8, Chili Beer, 79, Gold: Fire Tiger, Lander Brewing Co., Lander, WY, Silver: Heir Apparent, Lickinghole Creek Craft Brewery, Goochland, VA, Bronze: Ballast Point Pale Ale with Serrano, Ballast Point Brewing & Spirits - Scripps Ranch, , San Diego, CA
9, Herb and Spice Beer, 142, Gold: Garden Party, Free State Brewing Co., Lawrence, KS, Silver: Allergeez, Panther Island Brewing Co., Fort Worth, TX, Bronze: Oatmeal Raisin Cookie Ale, Aftershock Brewing Co., Temecula, CA
10, Chocolate Beer, 65, Gold: The Velvet Hog, TAPS Fish House & Brewery - Corona, Corona, CA, Silver: El Toro Coco Chocolate Stout, El Toro Brewing Co., Morgan Hill, CA, Bronze: Wonka Bar, Mispillion River Brewing, Milford, DE
11, Coffee Beer, 149, Gold: Zumbar Chocolate Coffee Imperial Stout, New English Brewing Co., San Diego, CA, Silver: Mocha Machine, Beachwood BBQ & Brewing, Long Beach, CA, Bronze: Bacon and Eggs, Pizza Port Ocean Beach, San Diego, CA
12, Specialty Beer, 59, Gold: Hog Cabin, Great South Bay Brewery, Bay Shore, NY, Silver: Hazelnut Brown Nectar, Rogue Ales, Newport, OR, Bronze: Pack Dog Peanut Butter Ale, Marley’s Brewery & Grille, Bloomsburg, PA
13, Rye Beer, 84, Gold: Blitzkrieg Bock, Fat Head’s Brewery - Portland, Portland, OR, Silver: Concrete Dinosaur, Right Brain Brewery, Traverse City, MI, Bronze: Pt. Bonita Rustic Lager, Headlands Brewing Co., Mill Valley, CA
14, Honey Beer, 52, Gold: Electric Stinger, The Tap Beer Co., Bloomington, IN, Silver: Honey Chamomile Wheat, Nexus Brewery, Albuquerque, NM, Bronze: Spring Fever, FiftyFifty Brewing Co., Truckee, CA
15, Session Beer, 44, Gold: BJ’s LightSwitch Lager, BJ’s Restaurant & Brewery - Temple, Temple, TX, Silver: MCA, 21st Amendment Brewery Cafe, San Francisco, CA, Bronze: Guillaume, Pizza Port Ocean Beach, San Diego, CA
16, Session India Pale Ale, 161, Gold: The Coachman, Societe Brewing Co., San Diego, CA, Silver: Size 4, Steel Toe Brewing, St. Louis Park, MN, Bronze: Nose Candy, Noble Ale Works, Anaheim, CA
17, Other Strong Beer, 43, Gold: Ursa Minor, McCoy’s Public House, Kansas City, MO, Silver: Humboldt Brownie, Mad River Brewing Co., Blue Lake, CA, Bronze: Take Back the Streets, Piece Brewery, Chicago, IL
18, Experimental Beer, 85, Gold: Mystery Airship Imperial Chocolate Porter, New Helvetia Brewing Co., Sacramento, CA, Silver: Melt My Brain, Short’s Brewing Co., Elk Rapids, MI, Bronze: Ramjet, Black Project Spontaneous & Wild Ales, Denver, CO
19, Fresh or Wet Hop Ale, 34, Gold: Acequia IPA, Bosque Brewing Co., Albuquerque, NM, Silver: Fresh Hop Superpower IPA, Comrade Brewing Co., Denver, CO, Bronze: Melvin IPA, Melvin Brewing, Jackson, WY
20, Historical Beer, 40, Gold: Black Eagle Gratzer, Platform Beer Co., Cleveland, OH, Silver: Dortmunder Adambier, Blue Pants Brewery, Madison, AL, Bronze: Snow Drop, Grimm Brothers Brewhouse, Loveland, CO
21, Gluten-Free Beer, 24, Gold: Watchstander Stout, Ghostfish Brewing Co., Seattle, WA, Silver: IPA No. 5, Ground Breaker Brewing, Portland, OR, Bronze: Ghostfish Grapefruit IPA, Ghostfish Brewing Co., Seattle, WA
22, American-Belgo-Style Ale, 71, Gold: Le Freak, Green Flash Brewing Co., San Diego, CA, Silver: Summer Saison, Blackberry Farm Brewery, Walland, TN, Bronze: Salad Days American Saison, Pale Fire Brewing Co., Harrisonburg, VA
23, American-Style Sour Ale, 86, Gold: Savant Blanc, Perennial Artisan Ales, Saint Louis, MO, Silver: Ensorcelled, The Rare Barrel, Berkeley, CA, Bronze: Apropos of Nothing, The Rare Barrel, Berkeley, CA
24, Brett Beer, 85, Gold: (512) Wild Bear, (512) Brewing Co., Austin, TX, Silver: Red Swingline IPA Primitif, Trinity Brewing, Colorado Springs, CO, Bronze: 2015 Golden Ale, New Glarus Brewing Co. - Hilltop, New Glarus, WI
25, Wood- and Barrel-Aged Beer, 69, Gold: Wild Warehouse, Wander Brewing, Bellingham, WA, Silver: Palo Santo Aged Porter, Spellbound Brewing, Mount Holly, NJ, Bronze: Barrel Aged Brown Ale, Twin Peaks Brewery, Irving, TX
26, Wood- and Barrel-Aged Strong Beer, 179, Gold: Melange A Trois, Nebraska Brewing Co., La Vista, NE, Silver: Batch 666: Sympathy For The Devil, Sun King Brewing Co., Indianapolis, IN, Bronze: Ska Face, SKA Brewing, Durango, CO
27, Wood- and Barrel-Aged Strong Stout, 128, Gold: Ctayt, AC Golden Brewing Co., Golden, CO, Silver: Sherry Ink, Rhinegeist Brewing, Cincinnati, OH, Bronze: Dosvidanya, DESTIHL - Champaign, Champaign, IL
28, Wood- and Barrel-Aged Sour Beer, 137, Gold: Veritas 015, The Lost Abbey, San Marcos, CA, Silver: 24 Frames Per Second, Our Mutual Friend Malt & Brew, Denver, CO, Bronze: Sour Opal, Firestone Walker Barrelworks, Buellton, CA
29, Aged Beer, 38, Gold: Big Deluxe, Ritual Brewing Co., Redlands, CA, Silver: Sasquatch 2014, 903 Brewers, Sherman, TX, Bronze: Old Diablo, Morgan Territory Brewing, Tracy, CA
30, Kellerbier or Zwickelbier, 45, Gold: STS Pils, Russian River Brewing Co., Santa Rosa, CA, Silver: TAPS Kellerbier, TAPS Fish House & Brewery - Brea, Brea, CA, Bronze: Fargo Original, Fargo Brewing Co., Fargo, ND
31, Smoke Beer, 57, Gold: Smoked Märzen, 49th State Brewing Co., Denali National Park, AK, Silver: S.S.A., Titletown Brewing Co., Green Bay, WI, Bronze: Smokie Robbins, Lager Heads Brewing Co., Medina, OH
32, American-Style or International-Style Pilsener, 51, Gold: Rocket 100, The Austin Beer Garden Brewing Co., Austin, TX, Silver: Mexican Logger, SKA Brewing, Durango, CO, Bronze: Amend This!, TAPS Fish House & Brewery - Brea, Brea, CA
33, German-Style Pilsener, 100, Gold: Pivo, Firestone Walker Brewing Co., Paso Robles, CA, Silver: Pilsner, pFriem Family Brewers, Hood River, OR, Bronze: Pilsner, Dry Dock Brewing Co., Aurora, CO
34, Bohemian-Style Pilsener, 62, Gold: Shower Beer, Champion Brewing Co., Charlottesville, VA, Silver: Bohemian Pilsner, von Trapp Brewing, Stowe, VT, Bronze: Peacemaker Pilsner, Pug Ryan’s Brewing Co., Dillon, CO
35, Munich-Style Helles, 55, Gold: Bucket Seat Blonde, Garage Brewing Co. & Pizzeria, Temecula, CA, Silver: Long Goodbye, Ahnapee Brewery, Algoma, WI, Bronze: Goldencold Lager, Susquehanna Brewing Co., Pittston, PA
36, Dortmunder or German-Style Oktoberfest, 48, Gold: Oktoberfest, Fort Collins Brewery & Tavern, Fort Collins, CO, Silver: Longboard Island Lager, Craft Brew Alliance - Kona Brewery, Kailua Kona, HI, Bronze: Helles Lager, Lucky Envelope Brewing, Seattle, WA
37, American-Style Lager or Light Lager, 55, Gold: Coors Banquet, Coors Brewing Co., Golden, CO, Silver: Summer Siesta Mexican Lager, Lone Tree Brewing Co., Lone Tree, CO, Bronze: Southern Girl Lager, Sycamore Brewing, Charlotte, NC
38, American-Style Cream Ale, 56, Gold: Rainier Lager, Pabst Brewing Co., Los Angeles, CA, Silver: Olympia, Pabst Brewing Co., Los Angeles, CA, Bronze: Nuff, Dale Bros Brewery, Upland, CA
39, Vienna-Style Lager, 46, Gold: Vienna Lager, Devils Backbone Brewing Co. - Outpost, Lexington, VA, Silver: Oktoberfest, Stoudts Brewing Co., Adamstown, PA, Bronze: Firebrick, August Schell Brewing Co., New Ulm, MN
40, German-Style Märzen, 65, Gold: Oktoberfest, Rahr & Sons Brewing Co., Fort Worth, TX, Silver: Antonius 1742 Oktoberfest, Thr3e Wise Men Brewing Co., Indianapolis, IN, Bronze: Duck-Rabbit Märzen, Duck-Rabbit Craft Brewery, Farmville, NC, 2015 WINNERS LIST, #gabf, The Great American Beer Festival, is presented by the Brewers Associatio, n, ww, w., BrewersAssociation.org
41, American-Style Amber Lager, 48, Gold: Auburn Lager, Mad Anthony Brewing Co., Fort Wayne, IN, Silver: Karbachtoberfest, Karbach Brewing Co., Houston, TX, Bronze: St. Florian’s Brewery California Common, St. Florian’s Brewery, Windsor, CA
42, European-Style Dark/Münchner Dunkel, 34, Gold: Gigi, Exile Brewing, Des Moines, IA, Silver: Fearless Youth, Grimm Brothers Brewhouse, Loveland, CO, Bronze: Chuckanut Dunkel, Chuckanut Brewery, Bellingham, WA
43, American-Style Dark Lager, 21, Gold: Lagerithm, Bottle Logic Brewing, Anaheim, CA, Silver: Lighter Than I Look, Figueroa Mountain Brewing - Arroyo Grande, Arroyo Grande, CA, Bronze: Black Diamond, Bend Brewing Co., Bend, OR
44, German-Style Schwarzbier, 37, Gold: Lobo Negro, Pedernales Brewing Co., Fredericksburg, TX, Silver: Black Knight, Fat Head’s Brewery - N. Olmstead, North Olmsted, OH, Bronze: Eastside, Lakefront Brewery, Milwaukee, WI
45, Bock, 38, Gold: Break Line Bock, Rip Current Brewery, San Marcos, CA, Silver: Rock Out with Maibock Out, Hailstorm Brewing Co., Tinley Park, IL, Bronze: A Cart Ride to Mexico, Red Eye Brewing Co., Wausau, WI
46, German-Style Doppelbock or Eisbock, 25, Gold: The Regulator, Rahr & Sons Brewing Co., Fort Worth, TX, Silver: Procrastinator Doppelbock, Fitger’s Brewhouse, Duluth, MN, Bronze: Hot for Teacher Ms. Doppelbock, Thr3e Wise Men Brewing Co., Indianapolis, IN
47, Baltic-Style Porter, 35, Gold: Cobaltic Porter, Bottle Logic Brewing, Anaheim, CA, Silver: Double Porter, Bemidji Brewing Co., Bemidji, MN, Bronze: Duck-Rabbit Baltic Porter, Duck-Rabbit Craft Brewery, Farmville, NC
48, Golden or Blonde Ale, 107, Gold: Sunlight Cream Ale, Sun King Brewing Co., Indianapolis, IN, Silver: Boxcar Blonde Ale, Heroes Restaurant and Brewery, Riverside, CA, Bronze: Alpine Gold, Tied House Cafe & Brewery - Mtn View, Mountain View, CA
49, German-Style Kölsch, 111, Gold: Chuckanut Kolsch Style, Chuckanut Brewery, Bellingham, WA, Silver: Colorado Kölsch, Steamworks Brewing Co., Durango, CO, Bronze: Friar Chuck, Black Bottle Brewery, Fort Collins, CO
50, English-Style Summer Ale, 38, Gold: Beaverton Blonde, Golden Valley Brewery and Pub, McMinnville, OR, Silver: Cream Ale, Newburgh Brewing Co., Newburgh, NY, Bronze: Lonely Blonde, Fulton Beer, Minneapolis, MN
51, Classic English-Style Pale Ale, 46, Gold: Mr. Kite’s Pale Ale, Social Kitchen & Brewery, San Francisco, CA, Silver: India Pale Ale, Arcadia Brewing Co., Kalamazoo, MI, Bronze: PBW Pale Ale, Paducah Beer Werks, Paducah, KY
52, English-Style India Pale Ale, 42, Gold: Shanghai’d IPA, Old Town Brewing, Portland, OR, Silver: Monumental IPA, Port City Brewing Co., Alexandria, VA, Bronze: Hammersmith IPA, Firestone Walker Brewing Co., Paso Robles, CA
53, International-Style Pale Ale, 75, Gold: Mai Tai P.A., Alvarado Street Brewery & Grill, Monterey, CA, Silver: Rain Delay IPA, JAFB Wooster Brewery, Wooster, OH, Bronze: San Diego-Style IPA, Karl Strauss Brewing Co. - La Jolla, La Jolla, CA
54, American-Style Pale Ale, 160, Gold: Monterey St. Pale Ale, Central Coast Brewing Co., San Luis Obispo, CA, Silver: Hoppy Palm, Track 7 Brewing Co. - Natomas, Sacramento, CA, Bronze: Featherweight Pale Ale, Cannonball Creek Brewing Co., Golden, CO
55, American-Style Strong Pale Ale, 134, Gold: Ratchet Strap IPA, Barley Brown’s Beer, Baker City, OR, Silver: Via Chicago, CODA Brewing Co., Aurora, CO, Bronze: 3C India Pale Ale, Triple C Brewing, Charlotte, NC
56, American-Style India Pale Ale, 336, Gold: Revolver IPA, BNS Brewing & Distilling Co., Santee, CA, Silver: Pernicious IPA, Wicked Weed Brewing - Candler, Candler, NC, Bronze: White Rajah, The Brew Kettle Taproom and Smokehouse, Strongsville, OH
57, Imperial India Pale Ale, 208, Gold: Hop JuJu Imperial IPA, Fat Head’s Brewery, Middleburg Heights, OH, Silver: Eazy Duz It IIPA, Laurelwood Public House and Brewery, Portland, OR, Bronze: Teahupo’o, Breakwater Brewing Co., Oceanside, CA
58, American-Style Amber/Red Ale, 94, Gold: Immersion Amber Ale, Two Beers Brewing Co., Seattle, WA, Silver: Proletariat Red, Lompoc Brewing - The 5th Quadrant, Portland, OR, Bronze: Sharkbite Red, Pizza Port Bressi Ranch, Carlsbad, CA
59, Double Red Ale, 71, Gold: Bone Head Imperial Red, Fat Head’s Brewery, Middleburg Heights, OH, Silver: Toaster Pastry, 21st Amendment Brewery, San Leandro, CA, Bronze: GRAMBO, Pizza Port Solana Beach, Solana Beach, CA
60, Imperial Red Ale, 35, Gold: reDANKulous, Founders Brewing Co., Grand Rapids, MI, Silver: Wreak Havoc, Bootstrap Brewing Co., Niwot, CO, Bronze: Imperial Red Ale, Marble Brewery, Albuquerque, NM
61, English-Style Mild Ale, 40, Gold: Mild, Brothers Craft Brewing, Harrisonburg, VA, Silver: Summer Porter, Fort Point Beer Co., San Francisco, CA, Bronze: Mamoot, Logboat Brewing Co., Columbia, MO
62, Ordinary or Special Bitter, 43, Gold: DBA (Double Barrel Ale), Firestone Walker Brewing Co., Paso Robles, CA, Silver: Spitfire Best Bitter, Flyers Restaurant and Brewery, Oak Harbor, WA, Bronze: Sawtooth Ale, Left Hand Brewing Co., Longmont, CO
63, Extra Special Bitter, 67, Gold: The Guilty Party, Gibb’s Hundred Brewing Co., Greensboro, NC, Silver: 14° ESB, Bent Paddle Brewing Co., Duluth, MN, Bronze: Red Fish, Flying Fish Brewing Co., Somerdale, NJ
64, Scottish-Style Ale, 52, Gold: Copper John Scotch Ale, Madison River Brewing Co., Belgrade, MT, Silver: Cold Smoke, KettleHouse Brewing Co., Missoula, MT, Bronze: Barrio Rojo, Barrio Brewing Co., Tucson, AZ
65, Irish-Style Red Ale, 70, Gold: TAPS Irish Red, TAPS Fish House & Brewery - Corona, Corona, CA, Silver: Johnny Blood Red, Titletown Brewing Co., Green Bay, WI, Bronze: Hooligan’s Irish Red Ale, Montana Brewing Co., Billings, MT
66, English-Style Brown Ale, 72, Gold: Red Hydrant Ale, Big Dog’s Brewing Co., Las Vegas, NV, Silver: No Name, Glenwood Canyon Brewing Co., Glenwood Springs, CO, Bronze: Rogue River Brown, Rockford Brewing Co. - Rockford, Michigan, Rockford, MI
67, American-Style Brown Ale, 85, Gold: 1623 Almighty Brown Ale, 7th Settlement Brewery, Dover, NH, Silver: Rapture Fusion Brown Ale, Rabbit Hole Brewing, Justin, TX, Bronze: Restraint, Institution Ale Co., Camarillo, CA
68, American-Style Black Ale, 54, Gold: Midnight Moonlight, Fat Head’s Brewery - N. Olmstead, North Olmsted, OH, Silver: Singularity, Karl Strauss Brewing Co. - Costa Mesa, Costa Mesa, CA, Bronze: King Ink, Denver Beer Co. - Canworks, Denver, CO
69, German-Style Sour Ale, 111, Gold: Gose, Reuben’s Brews Taproom, Seattle, WA, Silver: Volkssekt, Bend Brewing Co., Bend, OR, Bronze: Cucumber Crush, 10 Barrel Brewing Co., Bend, OR
70, German-Style Altbier, 49, Gold: Copper Alt, Zipline Brewing Co., Lincoln, NE, Silver: Generation Alt, Flix Brewhouse - Indy, Carmel, IN, Bronze: Altbier, Liquid Mechanics Brewing Co., Lafayette, CO
71, South German-Style Hefeweizen, 95, Gold: Weißbier, Prost Brewing, Denver, CO, Silver: Wild Wapiti Wheat, Elk Mountain Brewing Co., Parker, CO, Bronze: Windansea Wheat, Karl Strauss Brewing Co., San Diego, CA
72, German-Style Wheat Ale, 38, Gold: Saint Arnold Weedwacker, Saint Arnold Brewing Co., Houston, TX, Silver: Weizenbock, Kansas City Bier Co., Kansas City, MO, Bronze: Monkey Business, New Bohemia Brewing Co., Santa Cruz, CA
73, Belgian-Style Blonde Ale or Pale Ale, 47, Gold: Bear Hair, Logboat Brewing Co., Columbia, MO, Silver: Bleek Worden, Prison City Brewing, Auburn, NY, Bronze: Belgian Style Pale Ale, Aardwolf Brewing Co., Jacksonville, FL
74, Belgian-Style Witbier, 82, Gold: Allagash White, Allagash Brewing Co., Portland, ME, Silver: White Rascal, Avery Brewing Co., Boulder, CO, Bronze: Optimal Wit, Port City Brewing Co., Alexandria, VA
75, French- and Belgian-Style Saison, 132, Gold: Siren’s Lure, Fair Winds Brewing Co., Lorton, VA, Silver: Daily Wages, Brasserie Saint James, Reno, NV, Bronze: Saison, URBN St. Brewing Co., El Cajon, CA
76, Belgian- and French-Style Ale, 47, Gold: Vintage Monks, Adelbert’s Brewery, Austin, TX, Silver: Grisette, Sly Fox Brewing Co., Pottstown, PA, Bronze: Petite Classique, The Commons Brewery, Portland, OR
77, Belgian-Style Lambic or Sour Ale, 78, Gold: Turbulent Consequence, Peche, Block 15, Corvallis, OR, Silver: Feral One, Firestone Walker Barrelworks, Buellton, CA, Bronze: Viejo Rojo, Tahoe Mountain Brewing Co. - Truckee, Truckee, CA
78, Belgian-Style Dubbel or Quadruple, 60, Gold: Sanitarium, Bier Brewery and Taproom, Indianapolis, IN, Silver: Dubbel Entendre, River’s Edge Brewing Co., Milford, MI, Bronze: Qualified, Taxman Brewing Co., Bargersville, IN
79, Belgian-Style Tripel, 52, Gold: Wild West Tripel, Chicago Brewing Co. - NV, Las Vegas, NV, Silver: Allagash Tripel, Allagash Brewing Co., Portland, ME, Bronze: Millennium Trippel, Church Brew Works - Lawrenceville Brewery, Pittsburgh, PA
80, Belgian-Style Strong Specialty Ale, 65, Gold: Van Dammit, Jailbreak Brewing Co., Laurel, MD, Silver: The Cannibal, Iron Hill Brewery & Restaurant - Chestnut Hill, Philadelphia, PA, Bronze: Quad Damn It, Chicago Brewing Co. - NV, Las Vegas, NV
81, Other Belgian-Style Ale, 45, Gold: Spangalang Table Beer, Spangalang Brewery, Denver, CO, Silver: Summer Rye Ale, Mayflower Brewing Co., Plymouth, MA, Bronze: Witty Moron, Stone Brewing World Bistro & Gardens - Liberty Station, San Diego, CA
82, Brown Porter, 57, Gold: Disaster at Meux, Lion Bridge Brewing Co., Cedar Rapids, IA, Silver: Peter Brown Tribute Ale, Bear Republic Brewing Co. - Factory 5, Cloverdale, CA, Bronze: Black Jack Porter, Left Hand Brewing Co., Longmont, CO
83, Robust Porter, 102, Gold: Recalcitrant Dockhand, Black Star Co-op, Austin, TX, Silver: Porter, Port City Brewing Co., Alexandria, VA, Bronze: Night Watchman, City Star Brewing, Berthoud, CO
84, Classic Irish-Style Dry Stout, 36, Gold: Stearns Stout, Figueroa Mountain Brewing - Santa Barbara, Santa Barbara, CA, Silver: Dragoon’s Dry Irish Stout, Moylan’s Brewery & Restaurant, Novato, CA, Bronze: Dry Stout, Reuben’s Brews, Seattle, WA
85, Export Stout, 39, Gold: Fade to Black, Volume 1, Left Hand Brewing Co., Longmont, CO, Silver: Black Rock Stout, Crossroads Brewing Co., Athens, NY, Bronze: Z-man Stout, Pizza Port Carlsbad, Carlsbad, CA
86, American-Style Stout, 39, Gold: Disorder Stout, Barley Brown’s Brewpub, Baker City, OR, Silver: Black Cliffs, Boise Brewing, Boise, ID, Bronze: P2P, 10 Barrel Brewing Co., Bend, OR
87, Sweet Stout or Cream Stout, 75, Gold: West O CocO, West O Beer, West Okoboji, IA, Silver: Chocolate Milk Stout, Boxing Bear Brewing Co., Albuquerque, NM, Bronze: The Husstler, Huss Brewing, Tempe, AZ
88, Oatmeal Stout, 73, Gold: R & R Oatmeal Stout, Beaver Street Brewery, Flagstaff, AZ, Silver: Scripps Pier Stout, South Park Brewing - CA, San Diego, CA, Bronze: Scaredy Cat, Vintage Brewing Co., Madison, WI
89, Imperial Stout, 80, Gold: Double Negative, Grimm Artisanal Ales, Brooklyn, NY, Silver: Russian Imperial Stout, Iron Hill Brewery & Restaurant - Lancaster, Lancaster, PA, Bronze: The Miller’s Toll, Raleigh Brewing Co., Raleigh, NC
90, Scotch Ale, 55, Gold: MacPelican’s Wee Heavy Ale, Pelican Pub & Brewery, Pacific City, OR, Silver: Black Lagoon Scottish Strong, Rip Current Brewery, San Marcos, CA, Bronze: Real Heavy, Real Ale Brewing Co., Blanco, TX
91, Old Ale or Strong Ale, 39, Gold: Old Scrooge, Silver City Brewery, Bremerton, WA, Silver: Innsmouth Olde Ale, Narragansett Brewing Co., Providence, RI, Bronze: MASSIVE! 2013, Gigantic Brewing Co., Portland, OR
92, Barley Wine-Style Ale, 56, Gold: Fat Hog, Ritual Brewing Co., Redlands, CA, Silver: Statik, Brewery Rickoli, Wheat Ridge, CO, Bronze: Old Skook, Three Magnets Brewing, Olympia, WA